id,senate_id,name,description,address,country,state
420,62712,AMERICAN CONSERVATIVE UNION,Conservative Political Action Committee,,US,VA
421,401108302,SAUNDERS GLOBAL DIPLOMACY,,,US,AZ
422,20881,"JONES WALKER, LLP",LAW FIRM,,US,DC
423,401104785,CAPITOL HILL POLICY GROUP LLC,government relations and public affairs,,US,DC
424,401109113,DIGITAL ENERGY COUNCIL,,,US,DC
425,25603,"ML STRATEGIES, LLC",Government relations consulting firm,,US,DC
426,401104641,LOT SIXTEEN LLC,Government relations and communications consulting and support.,,US,DC
427,39837,VAN SCOYOC ASSOCIATES,Government Relations Consultant,,US,DC
428,300195,FREEMYER & ASSOCIATES P.C.,Consulting firm,,US,DC
429,401109781,GROISMAN LLC,,,US,FL
430,401110376,LEGACY PUBLIC POLICY,,,US,DC
431,401106546,DGA GROUP GOVERNMENT RELATIONS LLC,,,US,DC
432,314237,INVARIANT LLC,Government relations firm,,US,DC
433,401107175,"CAPITOL STRATEGIES US, LLC",,,US,MD
434,401104782,"GALLANT GOVERNMENT & LAW GROUP, LLC",law firm,,US,MD
435,401107213,"OMEGA STRATEGIES, LLC.",,,US,MD
436,400531586,"CROSSROADS STRATEGIES, LLC",lobbying firm,,US,DC
437,401105307,COLLECTIVE STRATEGIES & COMMUNICATIONS,Governmental affairs and media communications firm,,US,DC
438,18422,HOGAN LOVELLS US LLP,Law Firm,,US,DC
439,401107930,VARYAG LLC,,,US,VA
440,818,ALCALDE & FAY,Government Relations and Lobbying,,US,VA
441,401110375,LEVY FIRESTONE MUSE LLP,,,US,DC
442,400458208,STERNHELL GROUP,Consulting and advocacy firm,,US,DC
443,401109481,FRONTLINE GOVERNMENT RELATIONS,,,US,DC
444,401110343,"HITTLE STRATEGIES, LLC",,,US,VA
445,401110363,CATURUS,,,US,TX
446,401103287,MCDERMOTT+ LLC,Consulting Firm,,US,DC
447,401110264,YONDR INC,,,US,CA
448,308775,MONUMENT ADVOCACY,Government affairs and strategic consulting services,,US,DC
449,401110161,"CATALYST STRATEGIES, LLC",,,US,VA
450,20744,TIBER CREEK GROUP,Government Relations.,,US,DC
451,313670,"POTOMAC CAPITOL ASSOCIATES, INC.",Consulting,,US,VA
452,76833,"NVG, LLC",Government Relations Firm,,US,DC
453,401110294,VASTO STRATEGIES LLC,,,US,CA
454,401109378,FRONTERA GROUP,,,US,FL
735,401106624,CROSSWINDS SOLUTIONS,,,US,DC
455,401104328,"CAMERON KRIER MASSEY, INC. DBA SCOUT GR","Government relations, policy and advocacy support",,US,TX
456,11402,IKON PUBLIC AFFAIRS,public affairs consulting,,US,PA
457,2194,"AMERICAN DEFENSE INTERNATIONAL, INC.",Lobbying and consulting firm.,,US,DC
458,401105537,BRIDGEWAY ADVOCACY,&#226;€‹Government relations.,,US,DC
459,400867541,DUANE MORRIS GOVERNMENT STRATEGIES,government affairs firm,,US,PA
460,22781,"LEWIS-BURKE ASSOCIATES, LLC",Lobbying and Consulting Firm,,US,DC
461,401109211,"FARLEY LAW, PLLC",,,US,TX
462,401104596,YELLOWSTONE STRATEGIES,Lobbying,,US,UT
463,401104898,"MOLNLYCKE HEALTH CARE US, LLC","Advanced products company for treatment & prevention of wounds, single use surgical device",,US,GA
464,401108969,"INTERSECT PUBLIC AFFAIRS, LLC",,,US,VA
465,400703105,EMPIRE CONSULTING GROUP,Government Relations,,US,DC
466,401110384,WINSLOW & CO PUBLIC AFFAIRS LLC,,,US,VA
467,18978,HUNTON ANDREWS KURTH LLP,Law Firm,,US,DC
468,401106014,NORTHERN COMPASS GROUP LLC,Consulting,,US,AK
469,401110381,CAHILL GORDON & REINDEL LLP,,,US,DC
470,401109047,SIDEPRIZE LLC D/B/A PRIZEPICKS,,,US,VA
471,401110373,"NOMINAL, INC. AND ITS U.S. SUBSIDIARY",,,US,TX
472,401109215,"EXODUS MOVEMENT, INC.",,,US,NE
473,401108130,CAPITOL PILLAR LLC,,,US,VA
474,400605842,"W STRATEGIES, LLC",Government Affairs Consulting Firm.,,US,DC
475,401109283,"MO STRATEGIES, INC.",,,US,IN
476,78072,EHRLICH & ASSOCIATES,Lobbying,,US,VA
477,401104071,NEW CENTURY GOVERNMENT AFFAIRS (F/K/A TERRENCE C. WOLFE),Government Relations,,US,DC
478,306636,"THE NORMANDY GROUP, LLC",Government affairs,,US,DC
479,401110395,ZEROEYES GOVERNMENT SOLUTION,,,US,PA
480,401108704,PORTFOLIO STRATEGIES LLC,,,US,VA
481,60116,MAYNARD NEXSEN PC,Law Firm,,US,AL
482,401110047,"VERSA GOVERNMENTAL STRATEGIES, LLC",,,US,MO
483,401110394,"POLICYPARTNER, LLC",,,US,MD
484,37232,SULLIVAN & CROMWELL LLP,Law firm.,,US,DC
485,8316,CARMEN GROUP INCORPORATED,Lobbying and Consulting Firm,,US,DC
486,35376,"COVINO SMITH & SIMON, INC. (FORMERLY SIMON AND COMPANY, INC.)",Intergovernmental relations,,US,DC
487,313511,J.A. GREEN AND COMPANY (FORMERLY LLC),Consultant for the defense industrial base and acquisition issues.,,US,DC
488,40033289,MR. DAN PERRIN,Consulting,,US,DC
489,401109596,MAVEN ADVOCACY PARTNERS LLC,,,US,TX
490,401110399,AMERICAN TRAIN DISPATCHERS ASSOCIATION,,,US,OH
491,401110366,"SYC STRATEGIES, LLC",,,US,OH
492,401109795,"SIGHTLINE ADVOCACY, LLC",,,US,VA
493,401110388,CALLAWASSIE CONSULTING LLC,,,US,NC
494,400637926,ARMORY HILL ADVOCATES (FORMERLY KNOWN AS RAWLSON POLICY GROUP),Government Relations Consulting Firm,,US,FL
495,401107378,"PREST PUBLIC STRATEGIES, LLC",,,US,OH
496,401109271,MCBRIDE CONSULTING & BUSINESS DEVELOPMENT GROUP,,,US,NY
497,401105388,HARVEY RUN STRATEGIES LLC,consulting firm,,US,PA
498,401109131,MARBLE ARCH,,,US,DC
499,401110172,THE WAYFINDER GROUP,,,US,DC
500,27822,NATIONAL FIRE PROTECTION ASSOCIATION,"NFPA develops, publishes, and disseminates consensus codes and standands.",,US,DC
501,400620885,"POBLETE TAMARGO, LLP",Law and Public Policy Firm,,US,VA
502,401105493,HILLNORTH LLC,Public Affairs Consultant,,US,DC
503,401104313,"MILLER STRATEGIES, LLC",strategic public affairs,,US,TX
504,400711132,"THE PICARD GROUP, LLC",governmental affairs and lobbying firm,,US,DC
505,12631,FAEGRE DRINKER BIDDLE & REATH LLP,Law firm,,US,DC
506,401103938,FARRAGUT PARTNERS LLP,Lobbying Firm,,US,DC
507,401110075,"XLA ADVISORS, LLC",,,US,NJ
508,401105121,"MARSHALL & POPP, LLC",&#226;€‹Government affairs and consulting firm.,,US,DC
509,401110403,"PASTORUM PARTNERS, LLC",,,US,VA
510,401109554,LIGHTHOUSE STRATEGIES LLC,,,US,DC
511,401104228,TEAM HALLAHAN LLC,Government Affairs Firm,,US,DC
512,401104556,BOUNDARY STONE PARTNERS,Public affairs and strategic communications firm,,US,DC
513,401110396,ROCK CREEK TRADE LLP,,,US,DC
514,401107789,STROGEN LLC,,,US,DC
515,307832,"ETHERTON AND ASSOCIATES, INC.",Lobbying and consulting services.,,US,VA
516,401110412,"CANPACK GROUP, INC. AND VARIOUS AFFILIATES",,,US,PA
517,401110386,TIKTOK USDS JOINT VENTURE LLC,,,US,CA
518,401103523,"HARBINGER STRATEGIES, LLC",Government Relations Firm.,,US,DC
519,400498457,"ROSEMONT ASSOCIATES, LLC",Business Consulting,,US,NJ
520,24486,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),&#226;€‹Public Affairs Government Relations Services,,US,DC
